Zip Code multiple,Property,Int ID,Zip Code
IMMO Consolidation Entity (LUX),Test Bank Account,3159,IMMO Consolidation Entity (LUX)
IMMO Investment Technologies S.à r.l. (LUX),CASH IN BANK,524,IMMO Investment Technologies S.à r.l. (LUX)
IMMO Investment Technologies S.à r.l. (LUX),CASH IN BANK : IMMO LUX: Revolut - EUR,626,IMMO Investment Technologies UK Limited (UK)
IMMO Investment Technologies S.à r.l. (LUX),CASH IN BANK : IMMO LUX: Revolut - GBP,627,INSTA IMMO GmbH (GER)
IMMO Investment Technologies S.à r.l. (LUX),CASH IN BANK : IMMO LUX: Revolut - USD,628,IMMO German Service GmbH (GER)
IMMO Investment Technologies S.à r.l. (LUX),CASH IN BANK : IMMO LUX: TransferWise - EUR,629,IMMO German Property GmbH (GER)
IMMO Investment Technologies S.à r.l. (LUX),CASH IN BANK : IMMO LUX: BNP Paribas - EUR,630,IMMO German Service II GmbH (GER)
IMMO Investment Technologies UK Limited (UK),CASH IN BANK : IMMO UK: Revolut - EUR,631,IMMO German Property II GmbH (GER)
IMMO Investment Technologies UK Limited (UK),CASH IN BANK : IMMO UK: Revolut - GBP,632,IMMO Investment Technologies España S.L (SPN)
IMMO Investment Technologies UK Limited (UK),CASH IN BANK : IMMO UK: Revolut - USD,633,IMMO Capital Fund GP S.à r.l (LUX)
IMMO Investment Technologies UK Limited (UK),CASH IN BANK : IMMO UK: Cledara,634,IMMO Capital Investment Funds SCSp SICAV-RAIF (LUX)
IMMO Investment Technologies UK Limited (UK),CASH IN BANK : IMMO UK: AlphaFX - EUR,635,Carilux Investment S.à r.l (LUX)
IMMO Investment Technologies UK Limited (UK),CASH IN BANK : IMMO UK: AlphaFX - GBP,636,Matis Investment S.à r.l (LUX)
IMMO Investment Technologies UK Limited (UK),CASH IN BANK : IMMO UK: AlphaFX - AUD,637,"IMMO Central Portfolio Spain, S.L. (SPN)"
IMMO Investment Technologies UK Limited (UK),CASH IN BANK : IMMO UK: Metro - EUR,638,"IMMO IT Spain Portfolio, S.L. (SPN)"
IMMO Investment Technologies UK Limited (UK),CASH IN BANK : IMMO UK: Metro - GBP,639,IMMO Digital Solutions India Private Limited (INR)
INSTA IMMO GmbH (GER),CASH IN BANK : IMMO GER: Revolut - EUR,640,Moonstone Holdings S.à r.l (LUX)
INSTA IMMO GmbH (GER),CASH IN BANK : IMMO GER: Haspa - EUR,641,RI Nord GmbH (EUR)
INSTA IMMO GmbH (GER),CASH IN BANK : IMMO GER: Revolut - Nuveen: Renovation,642,RI Living GmbH (EUR)
INSTA IMMO GmbH (GER),CASH IN BANK : IMMO GER: Revolut - Nuveen: Security Dep.,643,Chandos Holdings UG ( IMMO managed)
IMMO German Service GmbH (GER),CASH IN BANK : IMMO German Service GmbH,644,Arcangel Assets GmbH (IMMO managed)
IMMO German Property GmbH (GER),CASH IN BANK : IMMO German Property GmbH,645,Ruscha Residential GmbH (EUR) (IMMO managed)
IMMO German Service II GmbH (GER),CASH IN BANK : IMMO German Service II,646,Exporo Bestand 46 GmbH (EUR)
IMMO German Property II GmbH (GER),CASH IN BANK : IMMO German Property II GmbH,647,TIAA General Account Housing German Property GmbH (EUR)
IMMO Investment Technologies España S.L (SPN),CASH IN BANK : IMMO SPN: Santander Bank,648,TIAA General Account Housing German Service GmbH (EUR)
