Zip Code,Property,Int ID,,Zip Code
22089,E03_0066_0006,279,,22089
22083,E03_0067_0002,278,,22083
22299,E03_0068_0006,280,,22299
22299,E03_0068_0015,276,,22527
22089,E03_0069_0038,277,,20359
22527,E03_0070_0001,282,,20537
20359,E03_0071_0022,281,,22117
20537,B04_0072_0002,343,,22851
22117,B04_0073_0004,317,,22880
22851,B04_0074_0014,316,,22143
22880,B04_0075_0009,404,,50858
22143,B04_0076_0003,311,,21465
50858,B04_0077_0002,302,,25451
50858,B04_0078_0003,292,,51065
21465,B04_0079_0002,320,,22455
25451,B04_0080_0003,301,,22397
51065,B04_0081_0002,319,,22869
22455,B04_0082_0097,334,,25421
50858,B04_0083_0002,321,,50859
22397,B04_0084_0004,297,,21337
22143,B04_0085_0002,341,,51143
22869,B04_0086_0010,407,,22393
25421,B04_0087_0003,392,,41540
50859,B04_0088_0003,298,,22339
21337,B04_0089_0003,388,,40227
51143,B04_0090_0003,291,,50170
22393,B04_0091_0006,342,,22885
50858,B04_0092_0003,413,,21079
41540,B04_0093_0003,296,,21629
22339,B04_0094_0004,348,,40591
40227,B04_0095_0004,305,,50226
50858,B04_0096_0004,324,,40595
50170,B04_0097_0015,314,,40883
22885,B04_0098_0003,326,,21244
21079,B04_0099_0007,325,,40599
21629,B04_0100_0002,336,,40597
40591,B04_0101_0002,309,,41363
50226,B04_0102_0003,290,,40239
21629,B04_0103_0003,370,,40627
22880,B04_0104_0002,380,,50735
40595,B04_0105_0003,411,,22459
41540,B04_0106_0066,337,,25335
40883,B04_0107_0003,363,,40764
21244,B04_0108_0003,306,,51145
50858,B04_0109_0003,398,,40215
40599,B04_0110_0007,284,,40474
40599,B04_0110_0008,300,,40476
40597,B04_0111_0007,299,,30451
41363,B04_0112_0104,402,,22359
41363,B04_0112_0114,403,,51469
41363,B04_0112_0118,401,,40221
41363,B04_0112_0225,294,,40225
41363,B04_0112_0231,323,,40223
40239,B04_0113_0003,344,,21029
40627,B04_0114_0004,364,,30655
50735,B04_0115_0003,293,,22113
40239,B04_0116_0002,391,,53123
22459,B04_0117_0002,329,,50374
25335,B04_0118_0003,349,,30827
40599,B04_0119_00A5,287,,30627
40599,B04_0119_00B5,288,,31275
40764,B04_0120_0003,399,,50996
51145,B04_0121_0015,315,,30519
50170,B04_0122_0002,369,,40545
40215,B04_0123_0002,365,,21031
40627,B04_0124_0004,312,,30449
40474,B04_0125_0016,351,,30659
50858,B04_0126_0003,386,,30539
40476,B04_0127_0011,357,,30629
30451,B04_0128_0055,322,,30167
22359,B04_0129_0067,295,,25469
51469,B04_0130_0288,347,,53001
50859,B04_0131_0602,394,,41462
40221,B04_0132_0020,340,,53117
40225,B04_0133_0002,335,,40472
40225,B04_0133_0003,307,,42781
40223,B04_0134_0028,328,,41460
50858,B04_0135_0043,338,,30851
21029,B04_0136_0001,410,,50169
30655,B04_0137_0046,385,,22926
22113,B04_0138_0003,308,,53842
53123,B04_0139_0003,303,,50829
50374,B04_0140_0003,339,,50997
50170,B04_0141_0003,368,,51427
30827,B04_0142_0004,327,,30559
30627,B04_0143_0003,371,,30455
31275,B04_0144_0058,389,,40878
50996,B04_0145_0007,313,,40885
30519,B04_0146_0005,283,,40789
30519,B04_0146_0006,285,,51109
30519,B04_0146_0007,286,,50354
40239,B04_0147_0031,356,,40667
40545,B04_0148_0016,304,,53340
21031,B04_0149_0075,345,,40880
30449,B04_0150_0002,331,,51429
30659,B04_0151_0011,393,,50127
30539,B04_0152_0002,374,,20099
30629,B04_0153_0001,409,,22559
30167,B04_0154_0004,397,,22303
25469,B04_0155_0036,362,,22605
30539,B04_0156_0017,414,,22765
30167,B04_0157_0004,408,,22767
53001,B04_0158_0037,381,,20251
41462,B04_0159_0001,310,,22085
53117,B04_0160_0040,383,,22307
40221,B04_0161_0003,359,,22301
40223,B04_0162_0001,333,,20253
40472,B04_0163_0016,367,,20146
42781,B04_0164_0140,382,,22769
41460,B04_0165_0201,346,,20259
30655,B04_0166_0007,375,,22305
30851,B04_0167_0070,355,,22081
51145,B04_0168_0038,412,,22529
50169,B04_0169_0003,361,,20148
51469,B04_0170_0189,400,,20357
22926,B04_0171_0003,289,,22587
53842,B04_0172_0058,406,,20459
50829,B04_0173_0069,360,,22049
30167,B04_0174_0001,378,,22087
50997,B04_0175_0037,395,,20257
22880,B04_0176_0017,318,,22607
30851,B04_0177_0100,332,,20255
51427,B04_0178_0151,387,,20355
30559,B04_0179_0041,354,,22043
30455,B04_0180_0074,376,,28018
25421,B04_0181_0541,379,,28019
40878,B04_0182_0026,377,,28031
40885,B04_0183_0026,350,,28053
40789,B04_0184_0175,352,,28025
51109,B04_0185_0054,384,,28026
50354,B04_0186_0059,396,,46015
51427,B04_0187_0153,390,,123
42781,B04_0188_0036,366,,
40667,B04_0189_0055,358,,
42781,B04_0190_0199,353,,
53340,B04_0191_0021,372,,
40880,B04_0192_0036,330,,
51429,B04_0193_0018,405,,
50127,B04_0194_0031,373,,
20099,P01_0001_0013,434,,
22559,P01_0002_0005,447,,
22303,P01_0003_0044,428,,
22605,P01_0004_0003,476,,
22765,P01_0005_0041,470,,
22765,P01_0005_0046,418,,
22767,P01_0006_0006,459,,
20359,P01_0007_0007,466,,
20099,P01_0008_0014,478,,
20251,P01_0009_0021,430,,
22767,P01_0010_0001,481,,
22085,P01_0011_0004,421,,
22307,P01_0012_0003,461,,
22307,P01_0012_0023,473,,
22089,P01_0013_0003,440,,
22089,P01_0013_0004,487,,
22089,P01_0013_0012,433,,
22301,P01_0014_0016,471,,
22303,P01_0015_0195,419,,
22303,P01_0015_A194,485,,
22303,P01_0015_B194,488,,
22767,P01_0016_0054,451,,
20253,P01_0017_0053,489,,
22765,P01_0018_0006,423,,
22765,P01_0019_0005,439,,
20146,P01_0020_0003,469,,
22083,P01_0021_0001,490,,
22085,P01_0022_0007,445,,
22769,P01_0023_0008,475,,
20259,P01_0024_0160,416,,
22305,P01_0025_0029,449,,
22081,P01_0026_0058,446,,
22529,P01_0027_0074,467,,
20251,P01_0028_0011,426,,
22307,P01_0029_0089,474,,
20148,P01_0030_0013,458,,
22301,P01_0031_0001,422,,
20537,P01_0032_0003,472,,
20537,P01_0032_0010,465,,
22081,P01_0033_0027,435,,
22081,P01_0033_0105,420,,
20357,P01_0034_0004,443,,
22529,P01_0035_0009,460,,
22529,P01_0035_0010,464,,
22303,P01_0036_0034,456,,
22587,P01_0037_0002,441,,
22081,P01_0038_0013,442,,
22299,P01_0039_0146,438,,
20459,P01_0040_0005,479,,
22587,P01_0041_0005,486,,
22049,P01_0042_0052,455,,
20251,P01_0043_0006,432,,
20251,P01_0043_0011,463,,
20251,P01_0043_0017,415,,
20251,P01_0043_0024,450,,
22765,P01_0044_0005,484,,
22087,P01_0045_0003,424,,
20257,P01_0046_0005,437,,
20257,P01_0046_0012,436,,
20257,P01_0046_0018,462,,
22087,P01_0047_0005,452,,
22607,P01_0048_0013,453,,
22087,P01_0049_0020,480,,
20255,P01_0053_0011,444,,
20355,P01_0054_0023,491,,
22089,P01_0055_0032,482,,
22089,P01_0055_0074,425,,
22089,P01_0056_0009,483,,
22089,P01_0057_0033,429,,
20099,P01_0058_0070,454,,
20099,P01_0059_0049,457,,
20251,P01_0060_0004,417,,
20537,P01_0061_0002,477,,
20259,P01_0062_0006,468,,
22087,P01_0063_0018,431,,
22043,P01_0064_0C30,448,,
