Internal ID,Number,Name,Subsidiary (no hierarchy),Sub Int ID
1,1000,Cheque Account,IMMO Consolidation Entity (LUX),1
109,3035,Cumulative Translation Adjustment,IMMO Investment Technologies S.à r.l. (LUX),2
109,3035,Cumulative Translation Adjustment,IMMO Fund (consolidation entity),5
109,3035,Cumulative Translation Adjustment,IMMO Capital Fund GP S.à r.l (LUX),6
109,3035,Cumulative Translation Adjustment,IMMO Capital Investment Funds SCSp SICAV-RAIF (LUX),12
109,3035,Cumulative Translation Adjustment,IMMO Services Companies (Consolidation entity),8
109,3035,Cumulative Translation Adjustment,IMMO Investment Technologies UK Limited (UK),9
109,3035,Cumulative Translation Adjustment,INSTA IMMO GmbH (GER),10
109,3035,Cumulative Translation Adjustment,Chandos Holdings UG,49
109,3035,Cumulative Translation Adjustment,Arcangel Assets GmbH,50
109,3035,Cumulative Translation Adjustment,Ruscha Residential GmbH,51
109,3035,Cumulative Translation Adjustment,IMMO Investment Technologies España S.L (SPN),13
109,3035,Cumulative Translation Adjustment,IMMO Digital Solutions India Private Limited (INR),25
109,3035,Cumulative Translation Adjustment,IMMO Consolidation Entity (LUX),1
109,3035,Cumulative Translation Adjustment,IMMO Property Owning Structure (Consolidation entity),14
109,3035,Cumulative Translation Adjustment,Carilux Investment S.à r.l (LUX),15
109,3035,Cumulative Translation Adjustment,Moonstone Holdings S.à r.l (LUX),16
109,3035,Cumulative Translation Adjustment,Matis Investment S.à r.l (LUX),17
109,3035,Cumulative Translation Adjustment,"IMMO Central Portfolio Spain, S.L. (SPN)",18
109,3035,Cumulative Translation Adjustment,"IMMO IT Spain Portfolio, S.L. (SPN)",19
109,3035,Cumulative Translation Adjustment,IMMO German Service GmbH (GER),20
109,3035,Cumulative Translation Adjustment,IMMO German Property GmbH (GER),21
109,3035,Cumulative Translation Adjustment,IMMO German Service II GmbH (GER),22
109,3035,Cumulative Translation Adjustment,IMMO German Property II GmbH (GER),23
109,3035,Cumulative Translation Adjustment,IMMO Central Portfolio UK Limited (UK),24
109,3035,Cumulative Translation Adjustment,IMMO Managed Companies (Consolidation entity),34
109,3035,Cumulative Translation Adjustment,RainMaker Investments GmbH (EUR),35
109,3035,Cumulative Translation Adjustment,RI Nord GmbH (EUR),36
