Internal ID,Number,Name,Subsidiary
435,210100,ACCOUNTS PAYABLE,IMMO Consolidation Entity (LUX)
435,210100,ACCOUNTS PAYABLE,INSTA IMMO GmbH (GER)
435,210100,ACCOUNTS PAYABLE,Chandos Holdings UG
435,210100,ACCOUNTS PAYABLE,Arcangel Assets GmbH
435,210100,ACCOUNTS PAYABLE,Ruscha Residential GmbH
435,210100,ACCOUNTS PAYABLE,Chandos Elimination
435,210100,ACCOUNTS PAYABLE,IMMO Investment Technologies España S.L (SPN)
435,210100,ACCOUNTS PAYABLE,IMMO Digital Solutions India Private Limited (INR)
435,210100,ACCOUNTS PAYABLE,IMMO Service Elimination entity
435,210100,ACCOUNTS PAYABLE,IMMO Property Owning Structure (Consolidation entity)
435,210100,ACCOUNTS PAYABLE,Carilux Investment S.à r.l (LUX)
435,210100,ACCOUNTS PAYABLE,Moonstone Holdings S.à r.l (LUX)
435,210100,ACCOUNTS PAYABLE,Matis Investment S.à r.l (LUX)
435,210100,ACCOUNTS PAYABLE,"IMMO Central Portfolio Spain, S.L. (SPN)"
435,210100,ACCOUNTS PAYABLE,"IMMO IT Spain Portfolio, S.L. (SPN)"
435,210100,ACCOUNTS PAYABLE,IMMO IT SPAIN ELIMINATION
435,210100,ACCOUNTS PAYABLE,IMMO German Service GmbH (GER)
435,210100,ACCOUNTS PAYABLE,IMMO German Property GmbH (GER)
435,210100,ACCOUNTS PAYABLE,IMMO German Service II GmbH (GER)
435,210100,ACCOUNTS PAYABLE,IMMO German Property II GmbH (GER)
435,210100,ACCOUNTS PAYABLE,IMMO Central Portfolio UK Limited (UK)
435,210100,ACCOUNTS PAYABLE,Matis Investment Elimination
435,210100,ACCOUNTS PAYABLE,Matis Elimination(Moonstone)
435,210100,ACCOUNTS PAYABLE,Moonstone Elimination(carilux)
435,210100,ACCOUNTS PAYABLE,IMMO Investment Elimination
435,210100,ACCOUNTS PAYABLE,IMMO Managed Companies (Consolidation entity)
435,210100,ACCOUNTS PAYABLE,RainMaker Investments GmbH (EUR)
435,210100,ACCOUNTS PAYABLE,RI Nord GmbH (EUR)
435,210100,ACCOUNTS PAYABLE,RI Living GmbH (EUR)
435,210100,ACCOUNTS PAYABLE,Rainmaker Elimination
435,210100,ACCOUNTS PAYABLE,Chandos Holdings UG ( IMMO managed)
435,210100,ACCOUNTS PAYABLE,Arcangel Assets GmbH (IMMO managed)
435,210100,ACCOUNTS PAYABLE,Ruscha Residential GmbH (EUR) (IMMO managed)
435,210100,ACCOUNTS PAYABLE,Chandos Elimination (IMMO managed)
435,210100,ACCOUNTS PAYABLE,Nuveen HoldCo (Consolidation)
435,210100,ACCOUNTS PAYABLE,TIAA General Account Housing German Property GmbH (EUR)
435,210100,ACCOUNTS PAYABLE,TIAA General Account Housing German Service GmbH (EUR)
435,210100,ACCOUNTS PAYABLE,Nuveen Elimination
435,210100,ACCOUNTS PAYABLE,Exporo Bestand 46 GmbH (EUR)
435,210100,ACCOUNTS PAYABLE,Consolidation Elimination
435,210100,ACCOUNTS PAYABLE,productivity subsidiary
435,210100,ACCOUNTS PAYABLE,Test Entity
435,210100,ACCOUNTS PAYABLE,IMMO Investment Technologies S.à r.l. (LUX)
435,210100,ACCOUNTS PAYABLE,IMMO Fund (consolidation entity)
435,210100,ACCOUNTS PAYABLE,IMMO Capital Fund GP S.à r.l (LUX)
435,210100,ACCOUNTS PAYABLE,IMMO Capital Investment Funds SCSp SICAV-RAIF (LUX)
435,210100,ACCOUNTS PAYABLE,Capital fund Elimination
435,210100,ACCOUNTS PAYABLE,IMMO Services Companies (Consolidation entity)
435,210100,ACCOUNTS PAYABLE,IMMO Investment Technologies UK Limited (UK)
1229,210101,ACCOUNTS PAYABLE : Accounts Payable,Matis Investment Elimination
1229,210101,ACCOUNTS PAYABLE : Accounts Payable,Matis Elimination(Moonstone)
1229,210101,ACCOUNTS PAYABLE : Accounts Payable,Moonstone Elimination(carilux)
1229,210101,ACCOUNTS PAYABLE : Accounts Payable,IMMO Investment Elimination
1229,210101,ACCOUNTS PAYABLE : Accounts Payable,IMMO Managed Companies (Consolidation entity)
1229,210101,ACCOUNTS PAYABLE : Accounts Payable,RainMaker Investments GmbH (EUR)
1229,210101,ACCOUNTS PAYABLE : Accounts Payable,RI Nord GmbH (EUR)
1229,210101,ACCOUNTS PAYABLE : Accounts Payable,RI Living GmbH (EUR)
1229,210101,ACCOUNTS PAYABLE : Accounts Payable,Rainmaker Elimination
1229,210101,ACCOUNTS PAYABLE : Accounts Payable,Chandos Holdings UG ( IMMO managed)
1229,210101,ACCOUNTS PAYABLE : Accounts Payable,Arcangel Assets GmbH (IMMO managed)
1229,210101,ACCOUNTS PAYABLE : Accounts Payable,Ruscha Residential GmbH (EUR) (IMMO managed)
1229,210101,ACCOUNTS PAYABLE : Accounts Payable,Chandos Elimination (IMMO managed)
1229,210101,ACCOUNTS PAYABLE : Accounts Payable,Nuveen HoldCo (Consolidation)
1229,210101,ACCOUNTS PAYABLE : Accounts Payable,TIAA General Account Housing German Property GmbH (EUR)
1229,210101,ACCOUNTS PAYABLE : Accounts Payable,TIAA General Account Housing German Service GmbH (EUR)
1229,210101,ACCOUNTS PAYABLE : Accounts Payable,Nuveen Elimination
1229,210101,ACCOUNTS PAYABLE : Accounts Payable,Exporo Bestand 46 GmbH (EUR)
1229,210101,ACCOUNTS PAYABLE : Accounts Payable,Consolidation Elimination
1229,210101,ACCOUNTS PAYABLE : Accounts Payable,productivity subsidiary
1229,210101,ACCOUNTS PAYABLE : Accounts Payable,Test Entity
1229,210101,ACCOUNTS PAYABLE : Accounts Payable,IMMO Consolidation Entity (LUX)
1229,210101,ACCOUNTS PAYABLE : Accounts Payable,IMMO Investment Technologies S.à r.l. (LUX)
1229,210101,ACCOUNTS PAYABLE : Accounts Payable,IMMO Fund (consolidation entity)
1229,210101,ACCOUNTS PAYABLE : Accounts Payable,IMMO Capital Fund GP S.à r.l (LUX)
1229,210101,ACCOUNTS PAYABLE : Accounts Payable,IMMO Capital Investment Funds SCSp SICAV-RAIF (LUX)
1229,210101,ACCOUNTS PAYABLE : Accounts Payable,Capital fund Elimination
1229,210101,ACCOUNTS PAYABLE : Accounts Payable,IMMO Services Companies (Consolidation entity)
1229,210101,ACCOUNTS PAYABLE : Accounts Payable,IMMO Investment Technologies UK Limited (UK)
1229,210101,ACCOUNTS PAYABLE : Accounts Payable,INSTA IMMO GmbH (GER)
1229,210101,ACCOUNTS PAYABLE : Accounts Payable,Chandos Holdings UG
1229,210101,ACCOUNTS PAYABLE : Accounts Payable,Arcangel Assets GmbH
1229,210101,ACCOUNTS PAYABLE : Accounts Payable,Ruscha Residential GmbH
1229,210101,ACCOUNTS PAYABLE : Accounts Payable,Chandos Elimination
1229,210101,ACCOUNTS PAYABLE : Accounts Payable,IMMO Investment Technologies España S.L (SPN)
1229,210101,ACCOUNTS PAYABLE : Accounts Payable,IMMO Digital Solutions India Private Limited (INR)
1229,210101,ACCOUNTS PAYABLE : Accounts Payable,IMMO Service Elimination entity
1229,210101,ACCOUNTS PAYABLE : Accounts Payable,IMMO Property Owning Structure (Consolidation entity)
1229,210101,ACCOUNTS PAYABLE : Accounts Payable,Carilux Investment S.à r.l (LUX)
1229,210101,ACCOUNTS PAYABLE : Accounts Payable,Moonstone Holdings S.à r.l (LUX)
1229,210101,ACCOUNTS PAYABLE : Accounts Payable,Matis Investment S.à r.l (LUX)
1229,210101,ACCOUNTS PAYABLE : Accounts Payable,"IMMO Central Portfolio Spain, S.L. (SPN)"
1229,210101,ACCOUNTS PAYABLE : Accounts Payable,"IMMO IT Spain Portfolio, S.L. (SPN)"
1229,210101,ACCOUNTS PAYABLE : Accounts Payable,IMMO IT SPAIN ELIMINATION
1229,210101,ACCOUNTS PAYABLE : Accounts Payable,IMMO German Service GmbH (GER)
1229,210101,ACCOUNTS PAYABLE : Accounts Payable,IMMO German Property GmbH (GER)
