Vendor,Subsidiary Col A,Sub Int ID in Prod,Sub Int in SB
700001,RI Nord GmbH,42,36
700001,RI Living GmbH,40,37
700001,Chandos Holdings UG,28,39
700001,Arcangel Assets GmbH,33,40
700001,Ruscha Residential GmbH,34,41
700001,Nuveen HoldCo,36,43
700001,TIAA General Account Housing German Property GmbH,37,44
700001,TIAA General Account Housing German Service GmbH,38,45
700001,Exporo Bestand 46 GmbH,35,47
700001,2.Chandos Holdings UG,32,49
700001,2.Arcangel Assets GmbH,30,50
700001,2.Ruscha Residential GmbH,29,51
700002,RI Nord GmbH,42,36
700002,RI Living GmbH,40,37
700002,Chandos Holdings UG,28,39
700002,Arcangel Assets GmbH,33,40
700002,Ruscha Residential GmbH,34,41
700002,Nuveen HoldCo,36,43
700002,TIAA General Account Housing German Property GmbH,37,44
700002,TIAA General Account Housing German Service GmbH,38,45
700002,Exporo Bestand 46 GmbH,35,47
700002,2.Chandos Holdings UG,32,49
700002,2.Arcangel Assets GmbH,30,50
700002,2.Ruscha Residential GmbH,29,51
700003,RI Nord GmbH,42,36
700003,RI Living GmbH,40,37
700003,Chandos Holdings UG,28,39
700003,Arcangel Assets GmbH,33,40
700003,Ruscha Residential GmbH,34,41
700003,Nuveen HoldCo,36,43
700003,TIAA General Account Housing German Property GmbH,37,44
700003,TIAA General Account Housing German Service GmbH,38,45
700003,Exporo Bestand 46 GmbH,35,47
700003,2.Chandos Holdings UG,32,49
700003,2.Arcangel Assets GmbH,30,50
700003,2.Ruscha Residential GmbH,29,51
700004,RI Nord GmbH,42,36
700004,RI Living GmbH,40,37
700004,Chandos Holdings UG,28,39
700004,Arcangel Assets GmbH,33,40
700004,Ruscha Residential GmbH,34,41
700004,Nuveen HoldCo,36,43
700004,TIAA General Account Housing German Property GmbH,37,44
700004,TIAA General Account Housing German Service GmbH,38,45
700004,Exporo Bestand 46 GmbH,35,47
700004,2.Chandos Holdings UG,32,49
700004,2.Arcangel Assets GmbH,30,50
700004,2.Ruscha Residential GmbH,29,51
700005,RI Nord GmbH,42,36
700005,RI Living GmbH,40,37
700005,Chandos Holdings UG,28,39
700005,Arcangel Assets GmbH,33,40
700005,Ruscha Residential GmbH,34,41
700005,Nuveen HoldCo,36,43
700005,TIAA General Account Housing German Property GmbH,37,44
700005,TIAA General Account Housing German Service GmbH,38,45
